TYPE,SITE_ID,SITE_PID,SITE_TYPE,NAME_ENG,NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,REALM,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,GOVSUBTYPE,OWN_TYPE,OWNSUBTYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,PRNT_ISO3,ISO3,SUPP_INFO,CONS_OBJ,INLND_WTRS,OECM_ASMT
Polygon,10744,10744,PA,Kaziranga National Park,Parc national de Kaziranga,World Heritage Site (natural or mixed),World Heritage Site (natural or mixed),International,Not Applicable,"(ix);(x)",Terrestrial,0,0,429.96,432.200265618519,Not Applicable,0,Inscribed,1985,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,946,IND,IND,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,10745,10745,PA,Manas Wildlife Sanctuary,Sanctuaire de faune de Manas,World Heritage Site (natural or mixed),World Heritage Site (natural or mixed),International,Not Applicable,"(ix);(vii);(x)",Terrestrial,0,0,391,448.919903079918,Not Applicable,0,Inscribed,1985,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,946,IND,IND,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,10746,10746,PA,Keoladeo National Park,Parc national de Keoladeo,World Heritage Site (natural or mixed),World Heritage Site (natural or mixed),International,Not Applicable,(x),Terrestrial,0,0,28.73,29.3881580137897,Not Applicable,0,Inscribed,1985,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,946,IND,IND,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,14177,14177,PA,Sundarbans National Park,Parc national des Sundarbans,World Heritage Site (natural or mixed),World Heritage Site (natural or mixed),International,Not Applicable,"(ix);(x)",Coastal,0,241.595683219426,1330.1,1038.34317659393,Not Reported,0,Inscribed,1987,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,946,IND,IND,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,16793,16793,PA,Nanda Devi and Valley of Flowers National Parks,Parcs nationaux de Nanda Devi et de la Vallée des fleurs,World Heritage Site (natural or mixed),World Heritage Site (natural or mixed),International,Not Applicable,"(vii);(x)",Terrestrial,0,0,712.1,736.440860487641,Not Applicable,0,Inscribed,1988,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,946,IND,IND,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,68005,68005,PA,Chilika Lake,Chilika Lake,Wetland of International Importance (Ramsar Site),Wetland of International Importance (Ramsar Site),International,Not Reported,Not Reported,Coastal,0,738.558937047377,1165,1277.75746487664,Not Reported,0,Designated,1981,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Management plan is implented and available,State Verified,1856,IND,IND,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,68006,68006,PA,Keoladeo National Park,Keoladeo National Park,Wetland of International Importance (Ramsar Site),Wetland of International Importance (Ramsar Site),International,Not Reported,Not Reported,Terrestrial,0,0,28.73,30.911375528195,Not Applicable,0,Designated,1981,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Management plan is implented and available,State Verified,1856,IND,IND,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,68007,68007,PA,Wular Lake,Wular Lake,Wetland of International Importance (Ramsar Site),Wetland of International Importance (Ramsar Site),International,Not Reported,Not Reported,Terrestrial,0,0,189,47.5146614173461,Not Applicable,0,Designated,1990,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Management plan is implented and available,State Verified,1856,IND,IND,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,68009,68009,PA,Loktak Lake,Loktak Lake,Wetland of International Importance (Ramsar Site),Wetland of International Importance (Ramsar Site),International,Not Reported,Not Reported,Terrestrial,0,0,266,271.253807325996,Not Applicable,0,Designated,1990,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Management plan is implented and available,State Verified,1856,IND,IND,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,68010,68010,PA,Sambhar Lake,Sambhar Lake,Wetland of International Importance (Ramsar Site),Wetland of International Importance (Ramsar Site),International,Not Reported,Not Reported,Terrestrial,0,0,240,196.900872533505,Not Applicable,0,Designated,1990,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Management plan is not implented and not available,State Verified,1856,IND,IND,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,902492,902492,PA,Nanda Devi,Nanda Devi,UNESCO-MAB Biosphere Reserve,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Not Applicable,Terrestrial,0,0,17582.07,5665.74626187854,Not Applicable,0,Designated,2004,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,626,IND,IND,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,555547990,555547990,PA,Western Ghats,Ghâts occidentaux,World Heritage Site (natural or mixed),World Heritage Site (natural or mixed),International,Not Applicable,"(ix);(x)",Terrestrial,0,0,7953.15,8115.15086008499,Not Applicable,0,Inscribed,2012,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,946,IND,IND,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,555577557,555577557,PA,Great Himalayan National Park Conservation Area,Aire de conservation du Parc national du Grand Himalaya,World Heritage Site (natural or mixed),World Heritage Site (natural or mixed),International,Not Applicable,(x),Terrestrial,0,0,905.4,822.389804305113,Not Applicable,0,Inscribed,2014,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,946,IND,IND,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,555622043,555622043,PA,Khangchendzonga National Park,Parc national de Khangchendzonga,World Heritage Site (natural or mixed),World Heritage Site (natural or mixed),International,Not Applicable,"(iii);(vi);(vii);(x)",Terrestrial,0,0,1784,1738.98456585027,Not Applicable,0,Inscribed,2016,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,946,IND,IND,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,555795276,555795276,PA,Sundarban Wetland,Sundarban Reserve Forest,Wetland of International Importance (Ramsar Site),Wetland of International Importance (Ramsar Site),International,Ia,"(ii);(iii);(vii);(viii)",Coastal,0,2055.22063512133,4230,4243.77409377187,Not Reported,0,Designated,2019,Not Reported,Not Applicable,State,Not Applicable,Full information available from the Ramsar Sites Information Service (RSIS) website - https://rsis.ramsar.org/ris/2370,Site management information available at: https://rsis.ramsar.org/ris/2370,State Verified,2123,IND,IND,More information available at: https://rsis.ramsar.org/ris/2370,Not Applicable,Not Reported,Not Applicable
Polygon,555795296,555795296,PA,Nangal Wildlife Sanctuary,Nangal Wildlife Sanctuary,Wetland of International Importance (Ramsar Site),Wetland of International Importance (Ramsar Site),International,Ib,"(ii);(iii)",Terrestrial,0,0,1.16,1.16352529341515,Not Applicable,0,Designated,2019,Not Reported,Not Applicable,Joint ownership,Not Reported,"Rupnagar Wildlife Division, Department of Forests and Wildlife Preservation, Punjab",Site management information available at: https://rsis.ramsar.org/ris/2407,State Verified,2123,IND,IND,More information available at: https://rsis.ramsar.org/ris/2407,Not Applicable,Not Reported,Not Applicable
Polygon,555795297,555795297,PA,Beas Conservation Reserve,Beas Conservation Reserve,Wetland of International Importance (Ramsar Site),Wetland of International Importance (Ramsar Site),International,Ib,"(ii);(vii)",Terrestrial,0,0,64.2892,64.2901973725056,Not Applicable,0,Designated,2019,Not Reported,Not Applicable,Joint ownership,Not Reported,"The Beas conservation reserve is managed by the Department of Forests and Wildlife Preservation, Punjab through the Wildlife Divisions of Pathankot, Hoshiarpur, Phillaur and Ferozepur at the local level.",Site management information available at: https://rsis.ramsar.org/ris/2408,State Verified,2123,IND,IND,More information available at: https://rsis.ramsar.org/ris/2408,Not Applicable,Not Reported,Not Applicable
Polygon,555795298,555795298,PA,Sandi Bird Sanctuary,Dahr Lake,Wetland of International Importance (Ramsar Site),Wetland of International Importance (Ramsar Site),International,IV,"(ii);(iii);(iv);(v);(vi);(vii)",Terrestrial,0,0,3.0854,3.01469308128734,Not Applicable,0,Designated,2019,Not Reported,Not Applicable,State,Not Applicable,"Sandi Bird Sanctuary; Endangered Project",Site management information available at: https://rsis.ramsar.org/ris/2409,State Verified,2123,IND,IND,More information available at: https://rsis.ramsar.org/ris/2409,Not Applicable,Not Reported,Not Applicable
